exercise_name,matched_video_title,video_url,confidence,needs_review
Sled Push,Sled Walk,https://www.youtube.com/watch?v=21Jy4mXJVc0,0.42,TRUE
Archer Push ups,Medicine Ball Push Ups,https://www.youtube.com/watch?v=_MMiLU6R3xA,0.44,TRUE
KB Push Press,DB KB Bench Press,https://www.youtube.com/watch?v=kqvr19FNuVo,0.47,TRUE
Hollow Hold,,,0.00,TRUE
lunge jumps,Hurdle Jumps,https://www.youtube.com/watch?v=6hnegrubb3k,0.47,TRUE
Step Up to jump,,,0.00,TRUE
Weighted Vest Pike Push Ups,,,0.00,TRUE
Eccentric Goblet Squat,,,0.00,TRUE
Weighted Sit Up Reach,,,0.00,TRUE
Eccentric Lateral Raise,,,0.00,TRUE
TRX Cossack Squats,TRX Bridges,https://www.youtube.com/watch?v=TzoOmNDtngk,0.56,TRUE
TRX Elevated Push-Up Hold,TRX Push Up,https://www.youtube.com/watch?v=LC1ft-_JmeY,0.70,TRUE
Weighted Push-Up Hold,Wide Push Up,https://www.youtube.com/watch?v=OHdlYdKjfGE,0.45,TRUE
TRX Face Pull Row,TRX Inverted Elevated Row,https://www.youtube.com/watch?v=E8fZLrjaKfY,0.56,TRUE
TRX Glute Bridge,TRX Bridges,https://www.youtube.com/watch?v=TzoOmNDtngk,0.62,TRUE
KB Suitcase Wall Sit,SL Calf Raise Wall Sit,https://www.youtube.com/watch?v=zoNwE3bR2YI,0.35,TRUE
KB Upright Rows,KB Squats,https://www.youtube.com/watch?v=UanKNRvFoJY,0.38,TRUE
Kettlebell Magic Bus,KB Squats,https://www.youtube.com/watch?v=UanKNRvFoJY,0.39,TRUE
Kneeling Band Press,Kneeling SA Landmine Press,https://www.youtube.com/watch?v=Ep5ex0vDVC0,0.41,TRUE
Kneeling Med Ball Power Toss,Lying Med Ball Press,https://www.youtube.com/watch?v=2wFMMBNeeyY,0.41,TRUE
Band Overhead Triceps Extensions,DB OH Tricep Extension,https://www.youtube.com/watch?v=FZivby4swq4,0.38,TRUE
Rear Delt Flys DB,,,0.00,TRUE
Band Wall Angels,,,0.00,TRUE
Lateral Band Step-Over,,,0.00,TRUE
Med Ball Russian Twists,Medicine Ball Russian Twists,https://www.youtube.com/watch?v=5PbRTv2AdKw,0.69,TRUE
Scapular Push-Ups,Medicine Ball Push Ups,https://www.youtube.com/watch?v=_MMiLU6R3xA,0.44,TRUE
Med Ball Kneeling Punch Throw,Tall Kneeling MB Throw,https://www.youtube.com/watch?v=vmKoSZm2X4I,0.43,TRUE
Floor Press with Slow Eccentric,,,0.00,TRUE
Wall Sit with Med Ball,Wall Sit With Knee Lift,https://www.youtube.com/watch?v=YHKptWJJFWo,0.44,TRUE
Face Pulls (Band),Cable Face-pulls,https://www.youtube.com/watch?v=KIAvSlmcYY4,0.42,TRUE
Step Ups W Knee Drive,,,0.00,TRUE
Archer Push-Ups,Medicine Ball Push Ups,https://www.youtube.com/watch?v=_MMiLU6R3xA,0.44,TRUE
Step Through Lunges,,,0.00,TRUE
